date,plane_type,loc,lat,lng,country,ref,airline,fat,px,cat,phase,cert,meta,cause,notes,,,,,,,,,
1999-06-17,Embraer 110P2 Bandeirante,near Goroka,-6.08,145.39,papua New Guinea,P2-ALX,Airlink,17,31,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1999-06-01,Douglas Md-82,Little Rock National Airport,34.73,-92.22,USA,N215AA,American Airlines,11,27,A1,landing,confirmed,human_error,pilot & crew error,,,,,,,,,,
1999-05-08,DHC-6 Twin Otter 300,near Port Vila,-17.73,168.33,Vanuatu,YJ-RV9,Vanair,7,23,A1,en_route,probable,weather,bad weather,,,,,,,,,,
1999-04-08,DHC-6 Twin Otter 300,near Málaga,37.03,35.81,Colombia,HK-2760,Aerotaca,5,21,A1,en_route,probable,weather,low visibility,,,,,,,,,,
1999-04-07,Boeing 737-400,near Ceyhan,36.72,-4.42,Turkey,TC-JEP,Turkish Airlines,6,22,A1,en_route,probable,weather,bad weather,,,,,,,,,,
1999-02-25,Dornier 328-110,Genoa-Cristo,44.44,8.87,Italy,D-CPRR,Minerva Airlines,4,20,A1,landing,suspected,weather,bad weather,,,,,,,,,,
1999-02-24,Tupolev Tu-154M,Ruian,27.78,120.66,China,B-2622,China Southwest Airlines,61,49,A1,approach,confirmed,mechanical,mechanical failure,,,,,,,,,,
1998-12-11,Airbus A310-324,Surat Thani,9.13,99.33,Thailand,HS-TIA,Thai Airways International,101,60,A1,approach,suspected,weather,bad weather,,,,,,,,,,
1998-11-01,Douglas C-47A-90-DL (DC-3C),near Quetzaltenango,14.8520705,-91.5305465,Guatemala,N3FY,Living Water Teaching Ministries,11,27,A1,approach,probable,weather,low visibility,,,,,,,,,,
1998-10-10,Boeing 727-30,near Kindu,-2.9507864,25.9218965,DR Congo,9Q-CSG,Lignes Aériennes Congolaises,41,42,C1,en_route,confirmed,criminal,shot down,,,,,,,,,,
1998-09-29,Antonov An-24rv,"off coast of Mannar District, Sri Lanka",8.8465222,79.9623875,Sri Lanka,EW-46465,Lionair,55,47,C1,en_route,suspected,criminal,shot down,,,,,,,,,,
1998-09-25,BAe 146,"Boumahfouda, Morocco",31.7948636,-7.0894036,Morocco,EC-GEO,PauknAir,38,41,A1,approach,suspected,human_error,pilot error,,,,,,,,,,
1998-09-02,Antonov 26B,near Malanje Airport,-9.53,16.31,Angola,RA-26028,"Permtransavia, operating for Prestavia",24,34,A1,en_route,suspected,mechanical,engine failure,,,,,,,,,,
1998-09-02,Douglas MD-11,"Atlantic Ocean near St Margarets Bay, Nova Scotia",44.49,-63.97,Canada,HB-IWF,Swissair,229,86,A1,en_route,suspected,mechanical,design flaw,,,,,,,,,,
1998-08-29,Tupolev 154M,Quito-Mariscal Sucre Airport,-0.12,-78.36,Ecuador,CU-T1264,Cubana,80,55,A1,takeoff,suspected,human_error,maintenance error,,,,,,,,,,
1998-08-24,Fokker F-27,near Tachilek Airport,20.49,99.93,Myanmar,XY-AEN,Myanma Airways,36,40,A1,approach,suspected,human_error,pilot error,,,,,,,,,,
1998-08-21,DHC-6 Twin Otter 300,near Ghorepani,28.40,83.70,Nepal,9N-ACC,"Nepalese CAA, operating for Lumbini Airways",18,31,A1,en_route,unknown,unknown,unknown,,,,,,,,,,
1998-07-30,Beechcraft 1900D,Baie de Quiberon,47.51,-3.01,France,F-GSJM,Proteus Air,14,29,A1,approach,probable,human_error,pilot error,,,,,,,,,,
1998-07-30,HAL/Dornier 228-201,Cochin Airport,10.15,76.39,India,VT-EJW,Alliance Air,9,25,A1,initial_climb,confirmed,mechanical,mechanical failure,,,,,,,,,,
1998-07-29,Embraer 110P1 Bandeirante,"near Manaus, AM",-3.12,-60.02,Brazil,PT-LGN,Selva Taxi Aéreo,12,27,A1,en_route,probable,human_error,overload,,,,,,,,,,
1998-07-27,Consolidated PBY-5A Catalina,Southampton,50.91,-1.40,UK,VP-BPS,Plane Sailing,2,17,A1,landing,suspected,human_error,maintenance error,,,,,,,,,,
1998-06-18,Swearingen SA226-TC Metro II,Montreal-Mir,45.50,-73.57,Canada,C-GQAL,Propair,11,27,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1998-05-26,Harbin Y-12,"near Erdenet, Orkhon",49.05,104.07,Mongolia,JU-1017,MIAT Mongolian Airlines,28,36,A1,en_route,suspected,human_error,overload,,,,,,,,,,
1998-05-05,Boeing 737-282,near Andoas,-2.91,-76.40,Peru,FAP-351,"Fuerza Aérea del Peru - FAP, operating for Occidental Petroleum",75,53,A1,approach,suspected,weather,low visibility,,,,,,,,,,
1998-04-20,Boeing 727,Bogota,4.71,-74.07,Colombia,HC-BSU,Air France,53,46,A1,en_route,probable,human_error,pilot & crew error,,,,,,,,,,
1998-03-28,Antonov 32,near Piura Airport,-5.21,-80.62,Peru,OB-1389,Peruvian AF,22,33,A1,approach,confirmed,mechanical,engine failure,,,,,,,,,,
1998-03-22,Airbus A320,Bacolod City Domestic Airport,10.78,123.02,Philippines,RP-C3222,Philippine Airlines,3,19,A1,landing,probable,human_error,pilot error,,,,,,,,,,
1998-03-19,Boeing 727-228,"Sharki Baratayi Mountain, near Charasyab",ERROR,ERROR,Afghanistan,YA-FAZ,Ariana Afghan Airlines,45,44,A1,en_route,suspected,weather,bad weather,,,,,,,,,,
1998-03-18,Saab 340B,near Hsinchu,24.81,120.97,Taiwan,B-12255,Formosa Airlines,13,28,A1,en_route,probable,human_error,pilot & crew error,,,,,,,,,,
1998-02-16,Airbus A300,Taipei-Chiang Kai Shek International Airport,25.08,121.23,Taiwan,B-1814,China Airlines,202,81,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1998-02-02,Douglas DC-9-32,Mount Sumagaya,8.66,125.03,Philippines,RP-C1507,Cebu Pacific Air,104,61,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1998-01-27,Fokker F-27 Friendship 600,Thandwe Airport,18.46,94.30,Myanmar,XY-AES,Myanma Airways,16,30,A1,takeoff,suspected,mechanical,engine failure,,,,,,,,,,
1997-12-28,Boeing 747-122,Pacific ocean,-8.78,-124.51,Pacific ocean,N4723U,United Airlines,1,15,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1997-12-19,Boeing 737-36N,near Palembang,-2.98,104.78,Indonesia,9V-TRF,SilkAir,104,61,A1,en_route,suspected,criminal,intentional pilot error,,,,,,,,,,
1997-12-17,Yakovlev Yak-42,near Thessaloniki,40.64,22.94,Greece,UR-42334,Aerosvit,70,52,A1,en_route,probable,human_error,pilot error,,,,,,,,,,
1997-12-15,Tupolev 154B-1,near Sharjah Airport,25.33,55.51,UAE,EY-85281,Tajikistan Airlines,85,56,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1997-12-13,Swearingen SA226-TC Metro II,La Vertiente,-32.80,-65.77,Bolivia,CP-1635,"STAP-Serv. y Transportes Aéreos Petroleros, operating for SAVE",10,26,A1,initial_climb,suspected,mechanical,engine failure,,,,,,,,,,
1997-12-09,Embraer 110P1 Bandeirante,Little Grand,37.68,-89.39,Canada,C-GVRO,Sowind Air,4,20,A1,approach,probable,weather,low visibility,,,,,,,,,,
1997-10-10,Douglas DC-9-32,Nuevo Berlin,-32.9809545,-58.0470008,Argentina,LV-WEG,Austral Líneas Aéreas,74,53,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1997-09-26,Airbus A300,near Medan-Polonia Airport,3.56,98.68,Indonesia,PK-GAI,Garuda Indonesia,234,86,A1,approach,probable,human_error,atc error & bad weather,,,,,,,,,,
1997-09-12,DHC-6 Twin Otter 300,Minembwe Mou,ERROR,ERROR,DR Congo,9Q-CRY,TMK Air Commuter,19,32,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1997-09-06,Dornier Du 228,Lambir Hills National Park,4.20,114.04,Malaysia,9M-MIA,Royal Brunei Airlines,10,26,A1,approach,suspected,human_error,pilot error,,,,,,,,,,
1997-09-03,Tupolev Tu-134,Phnom Penh-Pochentong Airport,11.55,104.85,Cambodia,VNA120,Vietnam Airlines,65,50,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1997-08-10,Dornier 228-212,near Matsu Airport,26.22,120.00,Taiwan,B-12256,Formosa Airlines,16,30,A1,approach,probable,weather,low visibility,,,,,,,,,,
1997-08-06,Boeing 747-3B5,Nimitz Hill,13.46,144.73,Guam,HL7468,Korean Air,228,85,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1997-07-30,ATR-42-512,Florence-Peretola Airport,43.81,11.20,Italy,F-GPYE,Air Littoral,1,15,A1,landing,probable,human_error,pilot error,,,,,,,,,,
1997-07-29,BAC One-Eleven 203AE,Calabar Airport,4.97,8.35,Nigeria,5N-BAA,ADC Airlines,1,15,A1,landing,suspected,weather,low visibility,,,,,,,,,,
1997-07-17,Fokker F-27 Friendship 600,Bandung,-6.92,107.62,Indonesia,PK-YPM,"Trigana Air Service, operating for Sempati Air",28,36,A1,en_route,suspected,mechanical,engine failure,,,,,,,,,,
1997-07-11,Antonov 24RV,near Santiago-Antonio Maceo Airport,19.97,-75.84,Cuba,CU-T1262,Cubana de Aviación,44,43,A1,en_route,suspected,mechanical,mechanical failure,,,,,,,,,,
1997-07-09,Fokker 100,"near Suzano, SP",-23.55,-46.31,Brazil,PT-WHK,TAM Transportes Aéreos Regionais,1,15,C2,en_route,confirmed,criminal,attempted hijack,,,,,,,,,,
1997-06-10,Harbin Yunshuji Y-12 II,Mandalgobi A,45.76,106.27,Mongolia,JU-1020,MIAT Mongolian Airlines,7,23,A1,approach,probable,human_error,atc error,,,,,,,,,,
1997-06-06,Vickers 781D Viscount,near Irumu,1.44,29.84,DR Congo,9Q-CWL,Bazair,23,34,A1,en_route,unknown,unknown,unknown,,,,,,,,,,
1997-05-08,Boeing 737-31B,"Shenzhen, Guangdon",22.54,114.06,China,B-2925,China Southern Airlines,35,40,A1,landing,confirmed,weather,thunderstorm,,,,,,,,,,
1997-04-19,British Aerospace ATP,near Tanjung Pand,-2.74,107.65,Indonesia,PK-MTX,Merpati Nusantara,15,29,A1,approach,probable,human_error,pilot error,,,,,,,,,,
1997-03-18,Antonov AN-24,Cherkessk,44.23,42.06,Russia,RA-46516,Stavropolskaya Aktsionernaya Avia,50,45,A1,en_route,confirmed,human_error,maintenance error,,,,,,,,,,
1997-02-14,Boeing 737-2C3,Carajás Airport,-6.11,-50.00,Brazil,PP-CJO,Varig,1,15,A1,landing,probable,weather,low visibility,,,,,,,,,,
1997-01-31,Embraer 110P1A Bandeirante,near Yola Airport,9.27,12.43,Nigeria,5N-AXS,Skypower Express,5,21,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1997-01-09,Embraer EMB-120 Brasília,"near Monroe, MI",41.92,-83.40,USA,N265CA,Comair,29,37,A1,approach,probable,weather,atmospheric icing,,,,,,,,,,
1997-01-07,DHC-6 Twin Otter 300,near Apia-Fagali'i,-13.85,-171.74,Samoa,5W-FAU,Polynesian Airlines,3,19,A1,en_route,probable,human_error,pilot error,,,,,,,,,,
1996-12-07,CASA/Nurtanio NC-212-A4 Avioca,near Banjarmasin,-3.32,114.59,Indonesia,PK-VSO,Dirgantara Air Services,18,31,A1,approach,suspected,mechanical,engine failure,,,,,,,,,,
1996-11-30,DHC-6 Twin Otter 300,near Medellín,6.24,-75.58,Colombia,HK-2602,ACES Colombia,14,29,A1,en_route,probable,human_error,overload,,,,,,,,,,
1996-11-23,Boeing 767-260ER,near Grande Comore,-11.72,43.37,Comoros,ET-AIZ,Ethiopian Airlines,125,66,H1,approach,confirmed,criminal,hijack,,,,,,,,,,
1996-11-19,Beechcraft 1900,"Quincy Municipal Airport, IL",39.94,-91.19,USA,N87GL,United Express,14,29,A1,landing,confirmed,human_error,pilot error,,,,,,,,,,
1996-11-14,Antonov 2T,Most Pyssa,ERROR,ERROR,Russia,RA-40309,Komi Avia,14,29,A1,initial_climb,probable,human_error,pilot & crew error,,,,,,,,,,
1996-11-12,Boeing 747-168B,"Charkhi Dadri, Haryana",28.59,76.27,India,HZ-AIH,Saudi Arabian Airlines,312,98,A1,en_route,confirmed,human_error,"pilot error, mid air collision",,,,,,,,,,
1996-11-12,Ilyushin 76TD,"Charkhi Dadri, Haryana",28.59,76.27,India,UN-76435,Kazakhstan Airlines,37,40,A1,en_route,confirmed,human_error,"pilot error, mid air collision",,,,,,,,,,
1996-11-07,Boeing 727-231,near Ejirin,6.61,3.89,Nigeria,5N-BBG,ADC Airlines,144,70,A1,approach,confirmed,human_error,pilot & atc error,,,,,,,,,,
1996-11-01,Embraer 110P1 Bandeirante,near Santa Elena,-15.97,-5.71,Guatemala,TG-TPA,TAPSA,14,29,A1,approach,probable,weather,low visibility,,,,,,,,,,
1996-10-31,Fokker F28 Mk 0100,near São Paulo-Congonhas Airport,-23.63,-46.66,Brazil,PT-MRK,TAM Transportes Aéreos Regionais,103,61,A1,initial_climb,confirmed,mechanical,engine failure,,,,,,,,,,
1996-10-26,Yakovlev 40K,Khanty-Mansiysk,61.01,69.04,Russia,RA-88527,Tyumenaviatrans,5,21,A1,landing,confirmed,human_error,pilot error,,,,,,,,,,
1996-10-02,Boeing 757-23A,"Pacific Ocean, near Lima",35.26,-120.69,Pacific Ocean,N52AW,Aeroperú,70,52,A1,en_route,suspected,human_error,maintenance error,,,,,,,,,,
1996-09-18,Fairchild C-123K Provider,Bahía Tortugas Airfield,27.70,-114.91,Mexico,XA-SNB,Krissalan de Aviacion,5,21,A1,takeoff,unknown,unknown,unknown,,,,,,,,,,
1996-08-29,Tupolev Tu-154M,"Operafjellet, Svalbard",78.22,16.05,Norway,RA-85621,Vnukovo Airlines,141,69,A1,approach,suspected,human_error,pilot & crew error,,,,,,,,,,
1996-07-24,Fokker F-27 Friendship 600,Myeik Airport,12.45,98.62,Myanmar,XY-AET,Myanma Airways,8,24,A1,landing,probable,weather,bad weather,,,,,,,,,,
1996-07-17,Boeing 747-131,"near East Moriches, NY",40.81,-72.76,USA,N93119,Trans World Airlines,230,86,A1,en_route,confirmed,mechanical,fuel tank explosion,,,,,,,,,,
1996-07-11,Let L-410UVP-E9D,near Kanda,7.29,80.63,India,VT-ETC,Archana Airways,9,25,A1,approach,confirmed,human_error,pilot & company error,,,,,,,,,,
1996-07-06,McDonnell Douglas MD-88,"near Pensacola, FL",30.42,-87.22,USA,N927DA,Delta Air Lines,2,17,A2,takeoff,probable,human_error,maintenance error,,,,,,,,,,
1996-06-21,Harbin Yunshuji Y-12-II,near Changhai Air,1.36,103.99,China,B-3822,China Flying Dragon,2,17,A1,approach,confirmed,human_error,pilot & crew error,,,,,,,,,,
1996-06-13,McDonnell Douglas DC-10-30,Fukuoka Airport,33.59,130.45,Japan,PK-GIE,Garuda Indonesia,3,19,A1,takeoff,suspected,human_error,pilot error,,,,,,,,,,
1996-05-11,McDonnell Douglas DC-9,Everglades,25.29,-80.90,USA,N904VJ,ValuJet,110,62,A1,en_route,suspected,mechanical,cargo fire,,,,,,,,,,
1996-05-10,DHC-6 Twin Otter 200,Santa Maria,34.95,-120.44,Mexico,XA-SWJ,Aeroservicios Emp. de Durango,16,30,A1,approach,probable,weather,bad weather,,,,,,,,,,
1996-05-03,Antonov 24RV,near Haj Yousif,15.64,32.64,Sudan,ST-FAG,Federal Airlines,53,46,A1,landing,confirmed,weather,sandstorm,,,,,,,,,,
1996-04-05,Dornier 228-212,near Matsu Airpor,26.22,120.00,Taiwan,B-12257,Formosa Airlines,6,22,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1996-03-02,Learjet 25D,near São Paulo-Gu,-23.53,-46.64,Brazil,PT-LSD,Madrid Táxi Aéreo,9,25,A1,approach,suspected,human_error,pilot & crew error,,,,,,,,,,
1996-02-29,Boeing 737-222,near Arequipa,-16.41,-71.54,Peru,OB-1451,Faucett,123,65,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1996-02-12,GAF Nomad N.24A,Port-au-Prince-Mais Gate Airport,18.57,-72.29,Haiti,N224E,Haiti Express Airways,10,26,A1,initial_climb,suspected,mechanical,mechanical failure,,,,,,,,,,
1996-02-06,Boeing 757-225,near Puerto Plata,19.78,-70.69,Dominican Republic,TC-GEN,Birgenair,189,79,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1996-01-08,Antonov An-32B,N'Dolo Airport,-4.33,15.33,DR Congo (then Zaire),RA-262222,Moscow Airways,237,87,A1,initial_climb,probable,human_error,overload,,,,,,,,,,
1995-12-20,Boeing 757-223,"near Buga, Valle del Cauca",3.90,-76.30,Colombia,N651AA,American Airlines,159,73,A1,approach,confirmed,human_error,crew error,,,,,,,,,,
1995-12-18,Lockheed L-188C Electra,Cahungula,-7.80,19.43,Angola,9Q-CRR,Trans Service Airlift,141,69,A1,unknown,probable,human_error,overload,,,,,,,,,,
1995-12-13,Antonov An-24B,near Verona Airport,45.40,10.89,Italy,YA-AMR,Banat Air,49,45,A1,takeoff,probable,human_error,pilot error,,,,,,,,,,
1995-12-07,Beech 1900D,near Belle-Anse,18.24,-72.07,Haiti,F-OHRK,Air Saint Martin,20,32,A1,en_route,probable,human_error,pilot & atc error,,,,,,,,,,
1995-12-07,Tupolev 154B,near Grossevichi,47.98,139.54,Russia,RA-85164,Khabarovsk United Air,98,59,A1,en_route,confirmed,mechanical,fuel imbalance,,,,,,,,,,
1995-12-05,Tupolev 134b-3,near Nakhichevan Airport,39.19,45.46,Azerbaijan,4K-65703,Azerbaijan Airlines,52,46,A1,initial_climb,confirmed,mechanical,maintenance error,,,,,,,,,,
1995-12-03,Boeing 737-200,near Douala International Airport,4.01,9.72,Cameroon,TJ-CBE,Cameroon Airlines,71,52,A1,approach,probable,mechanical,mechanical failure,,,,,,,,,,
1995-11-13,Boeing 737-F29,Kaduna Airport,10.70,7.32,Nigeria,5N-AUA,Nigeria Airways,11,27,A1,landing,probable,human_error,pilot error,,,,,,,,,,
1995-11-08,Fokker F-27 Friendship 400M,near Villa Dolore,ERROR,ERROR,Argentina,TC-72,Lineas Aereas del Estado,53,46,A1,en_route,probable,weather,low visibility,,,,,,,,,,
1995-09-21,Antonov 24RV,Choho Geologloh Uul,ERROR,ERROR,Mongolia,BNMAU-10103,MIAT Mongolian Airlines,42,42,A1,approach,probable,human_error,pilot error,,,,,,,,,,
1995-09-20,DHC-3 Otter,Salvesen Lake,50.3567588,-94.4571957,Canada,C-FGCV,Walsten Air Service,6,22,A1,approach,probable,mechanical,engine failure,,,,,,,,,,
1995-09-15,Fokker 50,Tawau Airport,4.3139325,118.1142575,Malaysia,9M-MGH,Malaysia Airlines,34,39,A1,landing,probable,human_error,pilot error,,,,,,,,,,
1995-09-11,Antonov 26B,near Jalalabad Airport,34.400833,70.497223,Afghanistan,YA-BAO,Ariana Afghan Airlines,3,19,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1995-09-09,CASA C-212 Aviocar 200,near La Macarena,4.6107045,-74.0663631,Colombia,FAC-1152,SATENA,22,33,A1,approach,probable,weather,low visibility,,,,,,,,,,
1995-08-21,Embraer EMB-120 Brasília,"Carroll County, GA",33.5642239,-85.0649071,USA,N256AS,Atlantic Southeast Airlines,9,25,A1,en_route,confirmed,mechanical,design flaw,,,,,,,,,,
1995-08-14,Embraer 110P1 Bandeirante,near Toez,2.79997,-76.06668,Colombia,HK-2594,AIRES Colombia,8,24,A1,en_route,probable,human_error,pilot & crew error,,,,,,,,,,
1995-08-09,Boeing 737-2H6,San Vincent volcano,13.6,-88.85,El Salvador,N125GU,Aviateca,65,50,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1995-08-09,Hawker Siddeley HS-748-216 Srs,Kumawa Mount,25.012644,73.9069539,Indonesia,PK-KHL,Bouraq Indonesia,10,26,A1,en_route,suspected,human_error,pilot & crew error,,,,,,,,,,
1995-07-18,Douglas C-47A-80-DL,Antananarivo,-18.8791902,47.5079055,Madagascar,5R-MMG,Madagascar AF,36,40,A1,approach,suspected,human_error,pilot error,,,,,,,,,,
1995-07-17,DHC-6 Twin Otter 300,Bintuni Airport,-2.1036696,133.5169405,Indonesia,PK-NUT,Merpati Nusantara,1,15,A1,takeoff,probable,weather,wet runway,,,,,,,,,,
1995-07-12,DHC-6 Twin Otter 300,near Alotau,-10.3157027,150.46,Papua New Guinea,P2-MBI,Milne Bay Air,15,29,A1,en_route,confirmed,mechanical,electrical fire,,,,,,,,,,
1995-06-24,Tupolev 134A,Lagos-Murtal,6.52,3.32,Nigeria,RA-65617,"Komi Avia, operating for Harka Air Services",16,30,A1,landing,confirmed,weather,bad weather,,,,,,,,,,
1995-06-16,Antonov 2P,near Herpuchi,ERROR,ERROR,Russia,RA-07743,Aeroflot,13,28,A1,en_route,probable,weather,low visibility,,,,,,,,,,
1995-06-09,de Havilland Canada DHC-8,"Tararua Ranges, New Zealand",-40.77,175.38,New Zealand,ZK-NEY,Ansett New Zealand,4,20,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1995-05-24,Embraer 110P1 Bandeirante,near Leeds/Bradford Airport,53.87,-1.65,UK,G-OEAA,Knight Air,12,27,A1,en_route,confirmed,mechanical,instrument failure,,,,,,,,,,
1995-05-01,Swearingen SA227-CC Metro 23,"Sioux Falls, ON",43.54,-96.73,Canada,C-GYYB,Bearskin Airlines,3,19,A1,approach,probable,human_error,pilot error,,,,,,,,,,
1995-03-31,Airbus A310-324,"Balotesti, Romania",44.62,26.11,Romania,YR-LCC,TAROM,60,49,A1,en_route,confirmed,human_error,crew error,,,,,,,,,,
1995-01-28,Beechcraft 200 Super King Air,near Cafunfo Airport,-8.78,17.99,Papua New Guinea,D2-ECH,Sociedade de Aviaçao Ligeira,2,17,C1,initial_climb,confirmed,criminal,shot down,,,,,,,,,,
1995-01-20,Let L-410UVP,near Krasnoyarsk Airport,56.18,92.48,Russia,RA-67120,Abakan Airlines,3,19,A1,takeoff,confirmed,mechanical,engine failure,,,,,,,,,,
1995-01-17,DHC-6 Twin Otter 300,Kathmandu-Tribhuvan Airport,27.70,85.36,Nepal,9N-ABI,Royal Nepal Airlines,2,17,A1,takeoff,suspected,mechanical,mechanical failure,,,,,,,,,,
1995-01-10,Douglas DC-9-14,near Maria La Baja,9.98,-75.30,Colombia,HK-3839X,Intercontinental de Aviación,51,46,A1,approach,probable,human_error,crew error,,,,,,,,,,
1995-01-10,DHC-6 Twin Otter 300,Molo Strait,ERROR,ERROR,Indonesia,PK-NUK,Merpati Nusantara,14,29,A1,en_route,probable,weather,bad weather,,,,,,,,,,
1994-12-29,Boeing 737-4Y0,near Van Ferit Melen Airport,38.47,43.33,Turkey,TC-JES,Turkish Airlines,57,48,A1,approach,confirmed,weather,low visibility,,,,,,,,,,
1994-12-26,Airbus 1300B2-1c,Marseille-Marignane Airport,43.44,5.21,France,F-GBEC,Air France,7,23,H1,grounded,confirmed,criminal,hostage situation,,,,,,,,,,
1994-12-17,DHC-6 Twin Otter 200,near Olsobip,-5.39,141.52,Papua New Guinea,P2-MFS,Missionary Aviation Fellowship,28,36,A1,en_route,suspected,human_error,pilot error,,,,,,,,,,
1994-12-13,British Aerospace 3201 Jetstream,near Raleigh/Durh,35.88,-78.79,USA,N918AE,"Flagship Airlines, operating for American Eagle",15,29,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1994-12-10,Boeing 747-283B,near Minami Daito Island,25.85,131.25,Japan,EI-BWF,Philippine Airlines,1,15,C2,en_route,confirmed,criminal,bombing,,,,,,,,,,
1994-11-22,IRMA/BN-2A-20 Islander,near Tabubil,-5.27,141.23,Papua New Guinea,P2-SWC,Southwest Air,7,23,A1,en_route,probable,weather,bad weather,,,,,,,,,,
1994-11-05,Yakovlev 40,Saposoa Airport,ERROR,ERROR,Peru,OB-1569,Servicios Aéreos Amazonicos,6,22,A1,landing,probable,human_error,pedestrian on runway,,,,,,,,,,
1994-10-31,ATR 72-212,"near Roselawn, IN",41.16,-87.29,USA,N401AM,Simmons Airlines,68,51,A1,approach,confirmed,weather,atmospheric icing,,,,,,,,,,
1994-10-12,Fokker F-28 Fellowship,near Natanz,33.51,51.91,Iran,EP-PAV,Iran Aseman Airlines,66,51,A1,en_route,confirmed,mechanical,engine failure,,,,,,,,,,
1994-09-29,Rockwell 1121B Jet Commander,near Córdoba-Paja,37.88,-4.77,Argentina,LV-WEN,Radeair,8,24,A1,takeoff,confirmed,human_error,pilot & crew error,,,,,,,,,,
1994-09-26,Douglas C-47D,Bahia Negra,-20.23,-58.17,Paraguay,FAP2009,TAM Paraguay,1,15,A1,takeoff,confirmed,mechanical,engine failure,,,,,,,,,,
1994-09-26,Yakovlev 40,near Vanavara,60.34,102.30,Russia,RA-87468,Cheremshanka Airlines,28,36,A1,en_route,probable,human_error,pilot & crew error,,,,,,,,,,
1994-09-18,BAC One-Eleven 515FB,Tamanrasset-Aguemar Airport,22.81,5.45,Algeria,5N-IMO,Oriental Airlines,5,21,A1,approach,suspected,weather,low visibility,,,,,,,,,,
1994-09-13,DHC-6 Twin Otter 300,near Abuja International Airport,9.01,7.26,Nigeria,5N-ATQ,Aerocontractors,2,17,A1,approach,probable,human_error,pilot & crew error,,,,,,,,,,
1994-09-08,Boeing 737-3B7,"near Aliquippa, PA",40.62,-80.26,USA,N513AU,USAir,132,67,A1,approach,probable,mechanical,rudder failure,,,,,,,,,,
1994-08-21,ATR 42-312,"Atlas Mountains, near Tizounine",29.24,-8.33,Morocco,CN-CDT,Royal Air Maroc,44,43,A1,en_route,suspected,human_error,intentional pilot error,,,,,,,,,,
1994-07-19,Embraer 110P1 Bandeirante,near Colon-Enrique A Jimenez Airport,9.36,-79.86,Panama,HP-1202AC,Alas Chiricanas,21,33,C1,en_route,suspected,criminal,suicide bomber,,,,,,,,,,
1994-07-17,IRMA/Pilatus BN-2B-26 Islander,near Fort de France-Lamentin Airport,14.59,-61.00,Martinique,8P-TAD,"Trans Island Air, operating for Air Martinique",6,22,A1,approach,confirmed,human_error,pilot error,,,,,,,,,,
1994-07-02,McMcDonnell Douglas DC-9-31,"Charlotte, NC",35.23,-80.84,USA,N954VJ,USAir,37,40,A1,approach,confirmed,human_error,pilot error & windshear,,,,,,,,,,
1994-07-01,Fokker F-28 Fellowship 4000,Tidjikja Airport,18.57,-11.43,Mauritania,5T-CLF,Air Mauritanie,80,55,A1,landing,probable,weather,low visibility,,,,,,,,,,
1994-06-26,Fokker F-27 Friendship 400M,near Abidjan-Felix Houphouet Boigny Airport,5.25,-3.93,Ivory Coast,TU-TIP,Air Ivoire,17,31,A1,approach,suspected,human_error,pilot error,,,,,,,,,,
1994-06-23,DHC-3 Otter,"Taku Inlet, AK",58.30,-134.06,USA,N13GA,Wings of Alaska,7,23,A1,en_route,probable,weather,low visibility,,,,,,,,,,
1994-06-18,Fokker F-27 Friendship 500F,Mount Kalora,-32.97,151.69,Indonesia,PK-MFI,Merpati Nusantara,12,27,A1,approach,probable,weather,low visibility,,,,,,,,,,
1994-06-13,Swearingen SA226-TC Metro II,near Uruapan Airport,19.40,-102.04,Mexico,XA-SLU,Aero Cuahonte,9,25,A1,approach,probable,weather,low visibility,,,,,,,,,,
1994-06-06,Tupolev Tu-154M,near Xian,34.34,108.94,China,B-2610,China Northwest Airlines,160,73,A1,en_route,probable,mechanical,maintenance error,,,,,,,,,,
1994-05-28,Douglas C-53D-DO (DC-3),near Villavicencio,4.15,-73.64,Colombia,HK-2213,Transoriente Colombia,7,23,A1,initial_climb,probable,mechanical,engine failure,,,,,,,,,,
1994-05-07,Embraer 110EJ Bandeirante,São Gabriel,-30.33,-54.32,Brazil,PT-GJW,Rico Linhas Aéreas,8,24,A1,landing,unknown,unknown,unknown,,,,,,,,,,
